symbol,entry_time,exit_time,side,source,R,reason
BTCUSD,2024-04-08 13:00:00+00:00,2024-04-09 02:00:00+00:00,short,squeeze,2.020332638165811,tp
BTCUSD,2024-04-09 10:00:00+00:00,2024-04-09 14:00:00+00:00,long,squeeze,-1.1928366399687365,stop
BTCUSD,2024-04-09 17:00:00+00:00,2024-04-09 17:00:00+00:00,long,squeeze,-1.1402143534579898,stop
BTCUSD,2024-04-09 19:00:00+00:00,2024-04-10 13:00:00+00:00,long,squeeze,-1.131056391961916,stop
BTCUSD,2024-04-10 15:00:00+00:00,2024-04-10 17:00:00+00:00,long,squeeze,2.0301325697385835,tp
BTCUSD,2024-04-10 19:00:00+00:00,2024-04-10 20:00:00+00:00,short,squeeze,-1.1584536739724518,stop
BTCUSD,2024-04-11 21:00:00+00:00,2024-04-12 00:00:00+00:00,long,trend,-1.15344891391883,stop
BTCUSD,2024-04-13 18:00:00+00:00,2024-04-13 20:00:00+00:00,short,trend,2.0296479803745133,tp
BTCUSD,2024-04-15 02:00:00+00:00,2024-04-15 07:00:00+00:00,short,squeeze,-1.103753452895171,stop
BTCUSD,2024-04-15 09:00:00+00:00,2024-04-15 15:00:00+00:00,short,squeeze,2.0747838767149456,tp
BTCUSD,2024-04-15 21:00:00+00:00,2024-04-16 05:00:00+00:00,long,squeeze,-1.0966645168176403,stop
BTCUSD,2024-04-16 21:00:00+00:00,2024-04-16 22:00:00+00:00,short,trend,-1.1046474184832327,stop
BTCUSD,2024-04-17 18:00:00+00:00,2024-04-17 19:00:00+00:00,long,squeeze,2.0957836853040135,tp
BTCUSD,2024-04-18 17:00:00+00:00,2024-04-19 02:00:00+00:00,short,squeeze,2.081042525132709,tp
BTCUSD,2024-04-19 04:00:00+00:00,2024-04-19 07:00:00+00:00,long,squeeze,2.105373537268466,tp
BTCUSD,2024-04-19 09:00:00+00:00,2024-04-20 08:00:00+00:00,short,squeeze,0.46933988542497196,timeout
BTCUSD,2024-04-20 18:00:00+00:00,2024-04-20 18:00:00+00:00,short,squeeze,-1.2201948330676693,stop
BTCUSD,2024-04-21 05:00:00+00:00,2024-04-22 02:00:00+00:00,short,squeeze,-1.1996525592651677,stop
BTCUSD,2024-04-22 09:00:00+00:00,2024-04-22 18:00:00+00:00,short,squeeze,-1.1740679455667067,stop
BTCUSD,2024-04-23 15:00:00+00:00,2024-04-23 21:00:00+00:00,long,trend,-1.249730675402189,stop
BTCUSD,2024-04-24 18:00:00+00:00,2024-04-24 19:00:00+00:00,long,squeeze,-1.1901250935016812,stop
BTCUSD,2024-04-24 22:00:00+00:00,2024-04-25 11:00:00+00:00,long,squeeze,-1.1586050242925419,stop
BTCUSD,2024-04-25 15:00:00+00:00,2024-04-25 18:00:00+00:00,long,squeeze,2.0305952357190185,tp
BTCUSD,2024-04-25 20:00:00+00:00,2024-04-25 22:00:00+00:00,short,squeeze,-1.154193862237213,stop
BTCUSD,2024-04-26 15:00:00+00:00,2024-04-26 15:00:00+00:00,long,squeeze,-1.2116631865601217,stop
BTCUSD,2024-04-26 18:00:00+00:00,2024-04-27 01:00:00+00:00,long,squeeze,-1.1891950629267571,stop
BTCUSD,2024-04-28 05:00:00+00:00,2024-04-28 23:00:00+00:00,short,squeeze,1.9712078958313577,tp
BTCUSD,2024-04-29 01:00:00+00:00,2024-04-29 03:00:00+00:00,long,squeeze,-1.2742947323137142,stop
BTCUSD,2024-04-29 06:00:00+00:00,2024-04-29 06:00:00+00:00,long,squeeze,-1.2354213893696595,stop
BTCUSD,2024-04-29 08:00:00+00:00,2024-04-29 14:00:00+00:00,long,squeeze,-1.2134707926262347,stop
BTCUSD,2024-04-30 01:00:00+00:00,2024-04-30 01:00:00+00:00,short,squeeze,-1.1722709220365823,stop
BTCUSD,2024-04-30 12:00:00+00:00,2024-04-30 12:00:00+00:00,long,squeeze,-1.1416768011871357,stop
BTCUSD,2024-04-30 14:00:00+00:00,2024-04-30 15:00:00+00:00,long,squeeze,-1.1393497505636292,stop
BTCUSD,2024-04-30 19:00:00+00:00,2024-04-30 20:00:00+00:00,long,squeeze,-1.1365699674915875,stop
BTCUSD,2024-05-01 10:00:00+00:00,2024-05-01 19:00:00+00:00,long,squeeze,2.1011119204519484,tp
BTCUSD,2024-05-01 21:00:00+00:00,2024-05-01 22:00:00+00:00,short,trend,-1.0737302238766477,stop
BTCUSD,2024-05-02 17:00:00+00:00,2024-05-03 03:00:00+00:00,short,squeeze,-1.1679832902279128,stop
BTCUSD,2024-05-03 16:00:00+00:00,2024-05-03 21:00:00+00:00,short,squeeze,-1.1411391078347428,stop
BTCUSD,2024-05-04 13:00:00+00:00,2024-05-05 12:00:00+00:00,short,squeeze,-0.13571275804862315,timeout
BTCUSD,2024-05-06 06:00:00+00:00,2024-05-06 09:00:00+00:00,long,trend,1.9471068610713986,tp
BTCUSD,2024-05-06 17:00:00+00:00,2024-05-06 18:00:00+00:00,long,squeeze,-1.1436058290027202,stop
BTCUSD,2024-05-06 21:00:00+00:00,2024-05-07 20:00:00+00:00,long,squeeze,-0.34901762852880736,timeout
BTCUSD,2024-05-08 00:00:00+00:00,2024-05-08 00:00:00+00:00,long,squeeze,-1.1769452796690572,stop
BTCUSD,2024-05-08 15:00:00+00:00,2024-05-08 16:00:00+00:00,long,squeeze,-1.1968190879125584,stop
BTCUSD,2024-05-08 23:00:00+00:00,2024-05-09 00:00:00+00:00,long,squeeze,-1.178732071216957,stop
BTCUSD,2024-05-09 13:00:00+00:00,2024-05-09 16:00:00+00:00,long,squeeze,1.9715960872819571,tp
BTCUSD,2024-05-09 18:00:00+00:00,2024-05-09 20:00:00+00:00,short,squeeze,-1.1731238956732282,stop
BTCUSD,2024-05-10 14:00:00+00:00,2024-05-10 15:00:00+00:00,short,squeeze,1.9509120731832756,tp
BTCUSD,2024-05-10 17:00:00+00:00,2024-05-10 17:00:00+00:00,long,squeeze,-1.1671029391094458,stop
BTCUSD,2024-05-10 19:00:00+00:00,2024-05-11 18:00:00+00:00,long,squeeze,1.0157104722338142,timeout
BTCUSD,2024-05-11 22:00:00+00:00,2024-05-12 11:00:00+00:00,short,trend,-1.295898974358976,stop
BTCUSD,2024-05-12 18:00:00+00:00,2024-05-12 18:00:00+00:00,short,squeeze,-1.3505523329056386,stop
BTCUSD,2024-05-13 04:00:00+00:00,2024-05-13 07:00:00+00:00,short,trend,-1.257745668157888,stop
BTCUSD,2024-05-13 11:00:00+00:00,2024-05-14 03:00:00+00:00,short,squeeze,2.0042333917496644,tp
BTCUSD,2024-05-15 12:00:00+00:00,2024-05-15 13:00:00+00:00,short,squeeze,-1.258639138672973,stop
BTCUSD,2024-05-15 15:00:00+00:00,2024-05-15 16:00:00+00:00,short,squeeze,-1.1650911141743163,stop
BTCUSD,2024-05-15 18:00:00+00:00,2024-05-15 19:00:00+00:00,short,squeeze,-1.1529234826385986,stop
BTCUSD,2024-05-16 14:00:00+00:00,2024-05-16 15:00:00+00:00,short,squeeze,-1.2350339088632167,stop
BTCUSD,2024-05-16 17:00:00+00:00,2024-05-16 17:00:00+00:00,long,trend,-1.2140261314367489,stop
BTCUSD,2024-05-18 17:00:00+00:00,2024-05-19 11:00:00+00:00,long,squeeze,1.8431312876616888,tp
BTCUSD,2024-05-19 15:00:00+00:00,2024-05-19 16:00:00+00:00,long,squeeze,-1.319758246495867,stop
BTCUSD,2024-05-19 19:00:00+00:00,2024-05-19 20:00:00+00:00,long,squeeze,-1.2811620514099347,stop
BTCUSD,2024-05-20 04:00:00+00:00,2024-05-20 07:00:00+00:00,long,trend,-1.2625547009285443,stop
BTCUSD,2024-05-20 09:00:00+00:00,2024-05-20 17:00:00+00:00,long,trend,1.966464155889095,tp
BTCUSD,2024-05-20 22:00:00+00:00,2024-05-21 00:00:00+00:00,short,squeeze,-1.1598951688509174,stop
BTCUSD,2024-05-21 02:00:00+00:00,2024-05-21 18:00:00+00:00,short,squeeze,2.074049356931581,tp
