symbol,entry_time,exit_time,side,source,R,reason
SOLUSD,2024-04-17 17:00:00+00:00,2024-04-17 19:00:00+00:00,long,squeeze,2.144640860215052,tp
SOLUSD,2024-04-18 01:00:00+00:00,2024-04-18 04:00:00+00:00,short,trend,-1.0455628284253242,stop
SOLUSD,2024-04-18 17:00:00+00:00,2024-04-18 23:00:00+00:00,short,squeeze,-1.0575465597298437,stop
SOLUSD,2024-04-19 03:00:00+00:00,2024-04-19 04:00:00+00:00,short,trend,-1.051951192145862,stop
SOLUSD,2024-04-19 22:00:00+00:00,2024-04-20 16:00:00+00:00,short,trend,-1.0711190053285968,stop
SOLUSD,2024-04-20 20:00:00+00:00,2024-04-21 04:00:00+00:00,short,squeeze,-1.0968936002625533,stop
SOLUSD,2024-04-22 05:00:00+00:00,2024-04-22 07:00:00+00:00,long,trend,2.102711551155119,tp
SOLUSD,2024-04-23 17:00:00+00:00,2024-04-23 18:00:00+00:00,short,squeeze,-1.1165160270880297,stop
SOLUSD,2024-04-24 02:00:00+00:00,2024-04-24 15:00:00+00:00,long,trend,-1.1143600893521957,stop
SOLUSD,2024-04-24 18:00:00+00:00,2024-04-24 19:00:00+00:00,long,squeeze,-1.1004226950354659,stop
SOLUSD,2024-04-24 21:00:00+00:00,2024-04-24 23:00:00+00:00,long,squeeze,-1.088014761476145,stop
SOLUSD,2024-04-25 01:00:00+00:00,2024-04-25 03:00:00+00:00,long,squeeze,-1.0754722627737265,stop
SOLUSD,2024-04-25 13:00:00+00:00,2024-04-25 14:00:00+00:00,long,squeeze,-1.0844047590719774,stop
SOLUSD,2024-04-25 23:00:00+00:00,2024-04-26 02:00:00+00:00,short,trend,2.1107475085113,tp
SOLUSD,2024-04-26 15:00:00+00:00,2024-04-26 16:00:00+00:00,long,squeeze,-1.1038188623853284,stop
SOLUSD,2024-04-27 22:00:00+00:00,2024-04-28 02:00:00+00:00,short,squeeze,-1.1102177760063832,stop
SOLUSD,2024-04-28 05:00:00+00:00,2024-04-28 23:00:00+00:00,short,squeeze,2.0881134233518623,tp
SOLUSD,2024-04-29 06:00:00+00:00,2024-04-29 07:00:00+00:00,long,squeeze,-1.1167508096280019,stop
SOLUSD,2024-04-29 10:00:00+00:00,2024-04-30 01:00:00+00:00,long,squeeze,2.096636434714625,tp
