lookback,tp_mult,max_hold,wf_windows,avg_trades_per_window,avg_pf,avg_exp,avg_dd,stability_ratio,score
24,2.5,18,6,1.1666666666666667,1.746008611639247,0.7591447493565884,-0.18626531903190444,0.3333333333333333,0.7535567897856312
24,2.5,24,6,1.1666666666666667,1.746008611639247,0.7591447493565884,-0.18626531903190444,0.3333333333333333,0.7535567897856312
24,2.5,30,6,1.1666666666666667,1.746008611639247,0.7591447493565884,-0.18626531903190444,0.3333333333333333,0.7535567897856312
24,2.2,18,6,1.1666666666666667,1.5273390724195604,0.6466447493565902,-0.18626531903190444,0.3333333333333333,0.6410567897856331
24,2.2,24,6,1.1666666666666667,1.5273390724195604,0.6466447493565902,-0.18626531903190444,0.3333333333333333,0.6410567897856331
24,2.2,30,6,1.1666666666666667,1.5273390724195604,0.6466447493565902,-0.18626531903190444,0.3333333333333333,0.6410567897856331
24,2.0,18,6,1.1666666666666667,1.3815593796064338,0.5716447493565893,-0.18626531903190444,0.3333333333333333,0.5660567897856321
24,2.0,24,6,1.1666666666666667,1.3815593796064338,0.5716447493565893,-0.18626531903190444,0.3333333333333333,0.5660567897856321
24,2.0,30,6,1.1666666666666667,1.3815593796064338,0.5716447493565893,-0.18626531903190444,0.3333333333333333,0.5660567897856321
24,1.8,18,6,1.1666666666666667,1.2357796867933077,0.4966447493565884,-0.18626531903190444,0.3333333333333333,0.4910567897856313
24,1.8,24,6,1.1666666666666667,1.2357796867933077,0.4966447493565884,-0.18626531903190444,0.3333333333333333,0.4910567897856313
24,1.8,30,6,1.1666666666666667,1.2357796867933077,0.4966447493565884,-0.18626531903190444,0.3333333333333333,0.4910567897856313
20,2.5,18,6,1.8333333333333333,0.8615142053589683,0.42378479111544315,-0.3721413156391993,0.3333333333333333,0.41262055164626715
20,2.5,24,6,1.8333333333333333,0.8615142053589683,0.42378479111544315,-0.3721413156391993,0.3333333333333333,0.41262055164626715
20,2.5,30,6,1.8333333333333333,0.8615142053589683,0.42378479111544315,-0.3721413156391993,0.3333333333333333,0.41262055164626715
20,2.2,18,6,1.8333333333333333,0.753593410317287,0.32378479111544417,-0.3721413156391993,0.3333333333333333,0.3126205516462682
20,2.2,24,6,1.8333333333333333,0.753593410317287,0.32378479111544417,-0.3721413156391993,0.3333333333333333,0.3126205516462682
20,2.2,30,6,1.8333333333333333,0.753593410317287,0.32378479111544417,-0.3721413156391993,0.3333333333333333,0.3126205516462682
30,2.5,18,6,0.8333333333333334,1.086588821424603,0.3110739024386692,-0.18626531903190444,0.3333333333333333,0.3054859428677121
30,2.5,24,6,0.8333333333333334,1.086588821424603,0.3110739024386692,-0.18626531903190444,0.3333333333333333,0.3054859428677121
30,2.5,30,6,0.8333333333333334,1.086588821424603,0.3110739024386692,-0.18626531903190444,0.3333333333333333,0.3054859428677121
30,2.2,18,6,0.8333333333333334,0.9501927275713286,0.25274056910533643,-0.18626531903190444,0.3333333333333333,0.2471526095343793
30,2.2,24,6,0.8333333333333334,0.9501927275713286,0.25274056910533643,-0.18626531903190444,0.3333333333333333,0.2471526095343793
30,2.2,30,6,0.8333333333333334,0.9501927275713286,0.25274056910533643,-0.18626531903190444,0.3333333333333333,0.2471526095343793
20,2.0,18,6,1.8333333333333333,0.6816462136228322,0.2571181244487775,-0.3721413156391993,0.3333333333333333,0.24595388497960155
20,2.0,24,6,1.8333333333333333,0.6816462136228322,0.2571181244487775,-0.3721413156391993,0.3333333333333333,0.24595388497960155
20,2.0,30,6,1.8333333333333333,0.6816462136228322,0.2571181244487775,-0.3721413156391993,0.3333333333333333,0.24595388497960155
16,2.5,24,6,3.0,2.114864885694006,0.23174063440148376,-0.5666924410411295,0.6666666666666666,0.21473986117024987
16,2.5,30,6,3.0,2.114864885694006,0.23174063440148376,-0.5666924410411295,0.6666666666666666,0.21473986117024987
30,2.0,18,6,0.8333333333333334,0.8592619983358109,0.21385168021644727,-0.18626531903190444,0.3333333333333333,0.20826372064549012
30,2.0,24,6,0.8333333333333334,0.8592619983358109,0.21385168021644727,-0.18626531903190444,0.3333333333333333,0.20826372064549012
30,2.0,30,6,0.8333333333333334,0.8592619983358109,0.21385168021644727,-0.18626531903190444,0.3333333333333333,0.20826372064549012
20,1.8,18,6,1.8333333333333333,0.6096990169283775,0.19045145778211073,-0.3721413156391993,0.3333333333333333,0.17928721831293476
20,1.8,24,6,1.8333333333333333,0.6096990169283775,0.19045145778211073,-0.3721413156391993,0.3333333333333333,0.17928721831293476
20,1.8,30,6,1.8333333333333333,0.6096990169283775,0.19045145778211073,-0.3721413156391993,0.3333333333333333,0.17928721831293476
30,1.8,18,6,0.8333333333333334,0.7683312691002934,0.1749627913275583,-0.18626531903190444,0.3333333333333333,0.16937483175660115
30,1.8,24,6,0.8333333333333334,0.7683312691002934,0.1749627913275583,-0.18626531903190444,0.3333333333333333,0.16937483175660115
30,1.8,30,6,0.8333333333333334,0.7683312691002934,0.1749627913275583,-0.18626531903190444,0.3333333333333333,0.16937483175660115
16,2.2,24,6,3.0,1.8497771879037999,0.11507396773481819,-0.5666924410411295,0.6666666666666666,0.09807319450358432
16,2.2,30,6,3.0,1.8497771879037999,0.11507396773481819,-0.5666924410411295,0.6666666666666666,0.09807319450358432
16,2.5,18,6,3.0,1.8170268415588673,0.0655587605496768,-0.5666924410411295,0.5,0.048557987318442915
16,2.0,24,6,3.0,1.67305205604366,0.03729618995703977,-0.5666924410411295,0.6666666666666666,0.020295416725805884
16,2.0,30,6,3.0,1.67305205604366,0.03729618995703977,-0.5666924410411295,0.6666666666666666,0.020295416725805884
